Вакансия,Компания,Зарплата,Ссылка
"Инженер-программист (Embedded, C/C++)",InfiNet Wireless,"150 000 – 350 000 ₽ за месяц, на руки",https://adsrv.hh.ru/click?b=1492170&place=35&meta=bf7cZDa5vRUSH5emIbLNRxIB7Mmaymw9AOVCmtNODW8FUHVgzHM0UX2OgDzH_KFDhLhwMnEHSEhcEMVFV57m5QvQxWOlLI2yYuvziqJnaiU5pkLcyLkwZsSVCLSQvlxDOD_Z4PTrmeqZC-jUL4GktZUaUq4CgDU_jgrwqbZbCrhaRuVvnWqGEKRW5n2bC3aCIcPf9s0OLEef5YX5_sXx9K6uLr7dvOT-2Mx-6Epe_zJFOdsraNNFChtfHeufl1Nwwb-hQwEaVMeHUnZj6SkkeGM00ia8pNk2S_wTUH_fyQ6u0f-LhsJVrdEUpxZBKV-qNg7eBZkhcSMX2nVxxrlqWio_78WDpmffpIEeY36CV07G21TSUYd-G2Ce_jr7oXZahwJLXz4un70cjdWpSvJFeQ4VHebTANDMj6EExmpFOrIxBwHaBfzOU2kJG-dPB2ElCm0l7jLIjN_dsyblX18TcMEKqicEGkL8tgwlXIGY40qO0p4JaTwCZf6jGtcpQ6K3RbSY9_w3HKVa5CYq8N9rTJOxSLULui-ZwbGO90GT31Y%3D&clickType=link_to_vacancy
"Системный программист С++ (Linux Kernel, DPDK)",InfiNet Wireless,"150 000 – 350 000 ₽ за месяц, на руки",https://adsrv.hh.ru/click?b=1492180&place=36&meta=LBxKCfff2PUDa4h8YCydeyfhCUqw9ikzSqSiSoGb9B9sdEV6DOGo8i-3kflqEbK59zIuoaHMyGeIfNO4Bs4KEHVg0KOss90ut8drmiimFPUffj9X0M7pVAayHSl0vzSwiMYp0IwXZvx9Sjd3Y0ShWOHvVHpwfQnZkVaIdrAhKQNKVDzlVqbNfafREJ1iMDOp6h5t3eT5WBKg8-7fs6jBO49FPpTXNMzxfIRMu6UfWlVsSd5dhTehvTg-Zg0FC516PT5aX4vYg8DAYJm1l_Wg8brVC64sj-SEkMhdGMpp_HW8tI57i8WCyL9ViPdEWPepJYuBMk-PPDp_Wo8E5rByFirYbtMp2nCbmH1lCAI5g26HFZMYidKI8iAXqPZHMPLaJvP8lvbLcIPQsq9QMlroy1FZaPbp20h5rWOHPJuU-nbnLEaIkj6LvrY7gEpTRZ4UmHHTiJOVrMDIRfWRM_ZRsBy3ExUTFnOigTryGzsbYcEVSNah-Ysy6K8hFIfb7NvH0dUfyHfnEPRv2dzAvJ6Dul9Ez0pGvOBCgA4LemEL1Vg%3D&clickType=link_to_vacancy
"Fullstack разработчик PHP, JavaScript, Bitrix",ООО ММВС,"40 000 – 60 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116686531?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Прикладной программист (парсинг сайтов, коррекция данных)",Объектив,"от 50 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116688585?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ГКОУ СО Школа-Интернат №17,"102 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116690960?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (Junior/Middle),Configs,"70 000 – 180 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116609015?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист / разработчик C# (junior+ or middle),ООО ПКО Югория,"от 120 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/115677544?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Начинающий программист,Первый Бит,Зарплата не указана,https://ekaterinburg.hh.ru/vacancy/116498192?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ПАО Машиностроительный завод имени М.И.Калинина,"от 85 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116597194?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior fullstack developer,ООО ДОМА,Зарплата не указана,https://ekaterinburg.hh.ru/vacancy/116238335?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior/middle Node.js-разработчик,TiM Consult (ИП Погосян Юлия Сергеевна),"до 100 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/115558283?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Node.JS программист (DataMining),BRANDPOL,"60 000 – 120 000 ₽ за месяц, до вычета налогов",https://ekaterinburg.hh.ru/vacancy/115258561?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++,ООО Информационные системы,"от 80 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116328860?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик Java,ООО Информационные системы,"от 80 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/106899397?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ООО Телесен,"90 000 – 125 000 ₽ за месяц, до вычета налогов",https://ekaterinburg.hh.ru/vacancy/116495094?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Младший программист (маркировка),Первый Бит,"от 50 000 ₽ за месяц, до вычета налогов",https://ekaterinburg.hh.ru/vacancy/116491334?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
