Вакансия,Компания,Зарплата,Ссылка
Программист 1С,ООО РусПетрол,"240 000 – 260 000 ₽ за месяц, на руки",https://adsrv.hh.ru/click?b=1504952&place=35&meta=c2iLH7QAqjkXKPuPOvTQa434SwujzNVmvVY86aariZQAz91wzULTydp2xcLS0mUOiABOetzR5kyLoGDTrBpfcAPUEno5h8nvcrCE5hme3S9959MoIIGSNWlsLO9xmFIzroGpiT9sT337CTt4qiL4Pj0HZ3gOhYbpPp-VnNzUjxYxOHI3_n_PbeP__XC-G1eclI0AtMGXDmVBSH8YuYBkY1HDxpe0ulkE4GU3_YbMg59QNKwaFnQz7zg5Naje0b4TaLPGHA8ku27f2pF4tHdESD7llRNW2a0NLYWDfxBFjlT31Zioox9mBEWiVGozKguvN5n7DEwcX0nyk2kQooqz56AV2WTsqe6FaFkRh1LJG0bZLztewtavQl2A4glEkabYP01S3-9tz7bO0B0_GqB9WW-bF_k8PrWR1t11gBqS7TLZZBV_LrCKbeSH5SFD1vkq3uwnBfhLhxyTKqy5zKGgV0F-MfhSPccfkpbM-csbz_YLX5H0uNnRSXcD-O8UAUjeNM1zrN25sbpy7gpe0TfrzXqahOSmhpGkPBiuBQIGOTA%3D&clickType=link_to_vacancy
Программист Bitrix,ООО Абсолют Трейд,Зарплата не указана,https://adsrv.hh.ru/click?b=1510934&place=36&meta=cNABuwyxXlis1AGtnp_Ni0GxbK2vDZ7URR9LpBGWTHZztkUiPZrcHHMzbf1aeLmiv2UqZmJCZu5ENJCzllM-qob7xoHQEKs7prOZKPM8tFVva8-ukdCG8wFtwE3KfSRpEoBb2d6X4-F2hC2pcqhVhr9UC9UDaGUECfsodhSUFQslgw34a9PMqrq5z7sTuYb1-JeWxEsUXiArvRh-T9OXtOtuOQmA-Z0e-5VqJut_WtYz-8In3ses4OiNzGvl6BBxq5ze3qlBeQWszuKqF_42Eheys3UhNvWJ7ZSpnVAAsIXoG8PIHGip-JP8NXKmREM5IIY8SnAi6hoYULtKYQHhN-pkh6nwv2cOrOEeGMc6xydkRYRYQ4OhzMpQgxL8_7dUVqg2wylwu4KJQzrPwLo3-VX5ya2lRu4kKM-xo-1odqVURQv2bWj4JgKFxaw0psQ4e-ZFDjTK3-EYIZVihlzufv12M46yxs7adS-B_gmt6-kldDwEVFMYGhYVdalxbs4tbYXnlKIRNjmxVM2OSsfbjxJ-jwOe2Mm1vwxm7jty_h0%3D&clickType=link_to_vacancy
Инженер программист ROS,АО Интеллект Машин,"до 470 000 ₽ за месяц, на руки",https://hh.ru/vacancy/115669572?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Golang разработчик,ABCP,"220 000 – 450 000 ₽ за месяц, до вычета налогов",https://hh.ru/vacancy/73726156?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик / Программист 1C,ООО ВЕС-Медиа,Зарплата не указана,https://hh.ru/vacancy/116719629?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С,Теремок,"от 339 000 ₽ за месяц, до вычета налогов",https://hh.ru/vacancy/116538612?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Программист: C#, .NET, WinForms",ООО ТБСС,"от 90 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116747308?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик ПО для микроконтроллеров / embedded-программист / программист-разработчик (middle+),Бризекс,"250 000 – 350 000 ₽ за месяц, до вычета налогов",https://hh.ru/vacancy/116692686?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист софтов/Программист/Разработчик/ Разработчик софтов (удаленно),Smart SERM,"50 000 – 100 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116736404?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Full Stack junior разработчик,ООО КОРТЕОС,"120 000 – 150 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116725664?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
